Intent,Examples
Greet,Hi
Greet,How are you?
Greet,Hello
Greet,Good morning
Greet,Good afternoon
Greet,Good evening
Greet,Howdy
Greet,Hey
Greet,Greetings
Greet,Hi there
Greet,Hello how are you?
Greet,Good day
Greet,What's up?
Greet,Yo
Greet,How's it going?
Greet,How do you do?
Greet,How are you doing?
Greet,Hey there
Greet,Hi everyone
Greet,Welcome
Greet,Hello everyone
Greet,Hiya
Greet,Hello there
Greet,Hi how are you?
Greet,What's happening?
Greet,Hey what's up?
Greet,How's everything?
Greet,How've you been?
Greet,How are things?
Greet,What's new?
Farewell,Goodbye
Farewell,See you later
Farewell,Take care
Farewell,Have a great day
Farewell,Bye
Farewell,Catch you later
Farewell,Have a nice day
Farewell,Farewell
Farewell,Take it easy
Farewell,See ya
Farewell,Bye-bye
Farewell,Later
Farewell,See you soon
Farewell,Good night
Farewell,Talk to you later
Farewell,Peace out
Farewell,Ciao
Farewell,So long
Farewell,Bye for now
Farewell,All the best
Farewell,Until next time
Farewell,Bye now
Farewell,Later gator
Farewell,Have a good one
Farewell,Cheerio
Farewell,I'm out
Farewell,Catch you on the flip side
Farewell,Have a good day
Farewell,Goodbye for now
Farewell,Peace
Inquiry,What's the weather like today?
Inquiry,Can you tell me the time?
Inquiry,Where is the nearest restaurant?
Inquiry,How much does this cost?
Inquiry,What time do you open?
Inquiry,Do you have this in stock?
Inquiry,How can I help you?
Inquiry,What's the status of my order?
Inquiry,Can you assist me with this?
Inquiry,What are your hours of operation?
Inquiry,Can I speak to a representative?
Inquiry,How can I make a reservation?
Inquiry,Do you offer discounts?
Inquiry,What's the return policy?
Inquiry,How long does shipping take?
Inquiry,Is this item on sale?
Inquiry,How can I update my address?
Inquiry,What's the best way to contact you?
Inquiry,Do you offer customer support?
Inquiry,Can I pay with a credit card?
Inquiry,Is this available?
Inquiry,How do I cancel my order?
Inquiry,Can I change my reservation?
Inquiry,Do you have gluten-free options?
Inquiry,Do you offer vegetarian meals?
Inquiry,What's the cancellation policy?
Inquiry,Can I speak to a supervisor?
Inquiry,How do I contact customer service?
Inquiry,Is there a waiting list?
Inquiry,How do I check the status of my order?
Request,Can you help me?
Request,Could you assist me?
Request,Can I ask for your help?
Request,Could you do me a favor?
Request,Could you please help me?
Request,Would you be able to help?
Request,I need your assistance
Request,Could you lend me a hand?
Request,Can you do this for me?
Request,Could you help me out?
Request,Could you do me a solid?
Request,Would you please assist me?
Request,Can I request your help?
Request,Could you take care of this?
Request,Can you manage this for me?
Request,Would you handle this for me?
Request,Could you sort this out for me?
Request,Would you mind helping me?
Request,Can I count on you?
Request,Would you be so kind as to help?
Request,Would you mind assisting me?
Request,Can I have your assistance?
Request,Could you take care of that?
Request,Can you handle that for me?
Request,Would you take care of that for me?
Request,Could you manage that for me?
Request,Can you help with this?
Request,Could you help with this?
Request,Would you mind helping with this?
Request,Can you do me a favor and help?
Thanks,Thank you
Thanks,Thanks a lot
Thanks,I appreciate it
Thanks,Much appreciated
Thanks,Thanks for your help
Thanks,You're the best
Thanks,Thanks for everything
Thanks,I owe you one
Thanks,Thanks a million
Thanks,Thank you so much
Thanks,You're amazing
Thanks,You're wonderful
Thanks,Thanks for being awesome
Thanks,I can't thank you enough
Thanks,I really appreciate your help
Thanks,Thanks a bunch
Thanks,Thanks for your assistance
Thanks,You're a lifesaver
Thanks,I'm grateful for your help
Thanks,You're a star
Thanks,You're awesome
Thanks,You're incredible
Thanks,You're fantastic
Thanks,You're exceptional
Thanks,You're a hero
Thanks,You're remarkable
Thanks,You're brilliant
Thanks,You're outstanding
Thanks,You're phenomenal
Thanks,You're terrific
Apology,I'm sorry
Apology,My apologies
Apology,I apologize
Apology,Sorry about that
Apology,Sorry for the inconvenience
Apology,I deeply regret
Apology,My bad
Apology,Oops sorry
Apology,Please forgive me
Apology,I didn't mean to
Apology,That was unintentional
Apology,I apologize for the oversight
Apology,I beg your pardon
Apology,Please excuse me
Apology,I'm really sorry
Apology,I take full responsibility
Apology,It's my fault
Apology,I'm truly sorry
Apology,I apologize sincerely
Apology,I'm regretful
Apology,I'm so sorry
Apology,Please accept my apology
Apology,I'm sorry if I hurt you
Apology,That was a mistake
Apology,Please understand
Apology,I'm sorry for any trouble caused
Apology,My sincerest apologies
Apology,I didn't realize
Apology,That was wrong of me
Apology,I apologize if I offended you
Invitation,Would you like to join me for dinner?
Invitation,Do you want to come over?
Invitation,How about we go out for lunch?
Invitation,Do you want to go for a walk?
Invitation,How about a movie night?
Invitation,Would you like to attend the party?
Invitation,Can I invite you over for coffee?
Invitation,Do you want to come to my place?
Invitation,Let's hang out this weekend
Invitation,How about a game night?
Invitation,Would you like to join me for a drink?
Invitation,Do you want to grab dinner?
Invitation,How about a picnic?
Invitation,Would you like to go to the concert?
Invitation,Can we meet for brunch?
Invitation,Do you want to catch up over coffee?
Invitation,How about we go hiking?
Invitation,Would you like to attend the wedding?
Invitation,Can I invite you to a barbecue?
Invitation,Do you want to come to my party?
Invitation,How about we go to a comedy show?
Invitation,Would you like to go bowling?
Invitation,Can I invite you to the event?
Invitation,Do you want to join me for a workout?
Invitation,How about a cooking class?
Invitation,Would you like to go to the museum?
Invitation,Can we go shopping together?
Invitation,Do you want to join me for lunch?
Invitation,How about we go to a festival?
Invitation,Would you like to come to my birthday party?
Complaint,This is unacceptable
Complaint,I'd like to speak to a manager
Complaint,I'm very dissatisfied
Complaint,This is the worst experience ever
Complaint,You overcharged me
Complaint,Your product is faulty
Complaint,You promised me better
Complaint,This needs to be fixed immediately
Complaint,I've had a terrible experience
Complaint,You charged me incorrectly
Complaint,Your service is terrible
Complaint,This isn't what I ordered
Complaint,Your staff was rude
Complaint,Your product broke
Complaint,I'm disappointed
Complaint,You need to do better
Complaint,This isn't worth the money
Complaint,I'm not coming back
Complaint,Your delivery was late
Complaint,The product arrived damaged
Complaint,You didn't meet my expectations
Complaint,This is not what I paid for
Complaint,I'm not satisfied with your service
Complaint,This is misleading
Complaint,You owe me a refund
Complaint,This is false advertising
Complaint,The service was poor
Complaint,I'm not happy with my purchase
Complaint,Your support is unresponsive
Agreement,That's great
Agreement,Yes that's true
Agreement,Indeed
Agreement,You got it
Agreement,Absolutely
Agreement,Of course
Agreement,That's right
Agreement,I agree with you
Agreement,You're correct
Agreement,That makes sense
Agreement,I'm with you
Agreement,That's exactly what I think
Agreement,That's precisely what I thought
Agreement,You're spot on
Agreement,I second that
Agreement,That's spot on
Agreement,Definitely
Agreement,For sure
Agreement,Totally
Agreement,Exactly
Agreement,You bet
Agreement,Agreed
Agreement,You're right
Agreement,That's clear
Agreement,Absolutely right
Agreement,That's it
Agreement,You're exactly right
Agreement,That's what I think too
Agreement,We're on the same page
Support,Can you help me?
Support,How do I get support?
Support,Can you assist me?
Support,How can I contact support?
Support,Can you help me with this issue?
Support,How do I reach support?
Support,Can you support me?
Support,How can I get support with this?
Support,Can you help me solve this?
Support,How do I get technical support?
Support,Can you assist me with a problem?
Support,How can I get customer support?
Support,Can you support me with this?
Support,How do I contact customer service?
Support,Can you help me resolve this?
Support,How can I get assistance?
Support,Can you provide support for this?
Support,How do I get assistance?
Support,Can you give me support?
Support,How can I get help?
Support,Can you offer me support?
Support,How do I get IT support?
Support,Can you aid me?
Support,How do I reach customer service?
Support,Can you lend support?
Support,How can I get technical support?
Support,Can you back me up?
Support,How do I resolve this with support?
Support,Can you stand by me?
Support,How do I address this with support?
Suggestion,How about we try a different approach?
Suggestion,Why don't we take a break?
Suggestion,How about we brainstorm ideas?
Suggestion,Can I suggest something?
Suggestion,How about we focus on the positives?
Suggestion,Why don't we collaborate on this?
Suggestion,How about we schedule a meeting?
Suggestion,Can I recommend a solution?
Suggestion,How about we explore alternatives?
Suggestion,Why don't we get feedback first?
Suggestion,How about we review the options?
Suggestion,Can I propose an idea?
